label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
dyn_linear,256,6000000,48000000,6,2.008605
dyn_linear,256,6000000,48000000,7,2.343182
dyn_linear,256,6000000,48000000,8,1.751222
dyn_linear,256,6000000,48000000,9,1.830041
dyn_linear,256,6000000,48000000,10,2.583835
dyn_pairwise,256,6000000,48000000,1,2.286266
dyn_pairwise,256,6000000,48000000,2,2.813099
dyn_pairwise,256,6000000,48000000,3,3.378689
dyn_pairwise,256,6000000,48000000,4,2.291692
dyn_pairwise,256,6000000,48000000,5,2.839004
dyn_pairwise,256,6000000,48000000,6,3.419370
dyn_pairwise,256,6000000,48000000,7,2.829127
dyn_pairwise,256,6000000,48000000,8,3.217229
dyn_pairwise,256,6000000,48000000,9,3.382229
dyn_pairwise,256,6000000,48000000,10,2.654725
