impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
task,uniform,0.0,0,10000000,20000000,128,4,1,0.180113,0.007032000,0.019797000,0.019733000,0.036704000,0.096698000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,2,0.180839,0.007160000,0.020374000,0.020963000,0.037250000,0.094921000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,3,0.179298,0.006946000,0.020574000,0.020752000,0.037032000,0.093800000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,1,0.126570,0.005658000,0.012671000,0.007821000,0.027614000,0.072598000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,2,0.126120,0.005682000,0.012418000,0.009646000,0.025269000,0.072875000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,3,0.127696,0.006018000,0.012514000,0.009583000,0.025147000,0.074223000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,1,0.093841,0.006290000,0.013171000,0.008989000,0.024432000,0.040640000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,2,0.094122,0.006794000,0.014097000,0.009099000,0.022260000,0.041557000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,3,0.097802,0.005976000,0.012253000,0.010931000,0.026744000,0.041572000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,1,0.098986,0.006781000,0.011770000,0.008814000,0.025706000,0.045566000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,2,0.098067,0.006190000,0.011657000,0.009858000,0.025933000,0.044021000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,3,0.097810,0.006340000,0.010973000,0.008776000,0.027679000,0.043700000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,32,1,0.100267,0.005691000,0.008119000,0.009191000,0.018280000,0.058647000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,32,2,0.090019,0.005691000,0.008073000,0.009373000,0.017467000,0.049064000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,32,3,0.095150,0.006336000,0.007906000,0.009447000,0.018215000,0.052889000,40006682,9024839626095127350,17897240367829630669
task,skewed,0.9,4,10000000,20000000,128,1,1,0.505935,0.017176000,0.044228000,0.034158000,0.088744000,0.321523000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,1,2,0.505377,0.017149000,0.044119000,0.033988000,0.088653000,0.321367000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,1,3,0.505862,0.017448000,0.044378000,0.034076000,0.088560000,0.321300000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,2,1,0.266063,0.009385000,0.023873000,0.017935000,0.047142000,0.167627000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,2,2,0.265870,0.009347000,0.023812000,0.017870000,0.047163000,0.167579000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,2,3,0.266419,0.009343000,0.023827000,0.017891000,0.047213000,0.168046000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,1,0.146780,0.005308000,0.012873000,0.011145000,0.025640000,0.091691000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,2,0.148008,0.005404000,0.012899000,0.011444000,0.025818000,0.092337000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,3,0.147383,0.005368000,0.012958000,0.011305000,0.025860000,0.091797000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,1,0.093457,0.003450000,0.007485000,0.005352000,0.015182000,0.061856000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,2,0.094155,0.003487000,0.007555000,0.005441000,0.015101000,0.062455000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,3,0.093919,0.003469000,0.007571000,0.005413000,0.015071000,0.062274000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,1,0.094383,0.004584000,0.006813000,0.007215000,0.014525000,0.061074000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,2,0.093819,0.004762000,0.006845000,0.006757000,0.013908000,0.061382000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,3,0.094198,0.004765000,0.006736000,0.007243000,0.014512000,0.060777000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,1,0.099075,0.005101000,0.008076000,0.007429000,0.016896000,0.061240000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,2,0.099389,0.004556000,0.008035000,0.007714000,0.017080000,0.061649000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,3,0.099481,0.004904000,0.008240000,0.007955000,0.016740000,0.061284000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,32,1,0.095510,0.004593000,0.007127000,0.007151000,0.014453000,0.061880000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,32,2,0.095336,0.004886000,0.007006000,0.007020000,0.014419000,0.061678000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,32,3,0.124028,0.004680000,0.007564000,0.007068000,0.014477000,0.089926000,11653426,14549371682504228917,903274091094300703
