arm,max_key,mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
C,40000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,1,4.287,16.013,7.930,36.390,109.768,174.387,12793554,7203771158368867836,14692381564141829462
C,40000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,2,4.271,15.927,7.957,36.477,109.775,174.407,12793554,7203771158368867836,14692381564141829462
C,40000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,3,4.270,15.897,7.960,36.455,109.738,174.319,12793554,7203771158368867836,14692381564141829462
C,40000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,4,4.304,15.899,7.955,36.433,109.858,174.450,12793554,7203771158368867836,14692381564141829462
C,40000000,task,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,0,4.559,16.070,8.513,36.579,111.547,177.268,12793554,7203771158368867836,14692381564141829462
C,40000000,task,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,1,4.454,16.212,8.569,36.444,110.671,176.351,12793554,7203771158368867836,14692381564141829462
C,40000000,task,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,2,4.741,16.127,9.127,36.372,110.832,177.200,12793554,7203771158368867836,14692381564141829462
C,40000000,task,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,3,4.568,16.012,9.496,36.489,110.655,177.221,12793554,7203771158368867836,14692381564141829462
C,40000000,task,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,4,4.486,16.047,8.483,36.515,110.619,176.150,12793554,7203771158368867836,14692381564141829462
C,80000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,0,9.085,22.243,17.636,46.172,115.233,210.368,25596467,17580485113460163840,12730777852769856420
C,80000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,1,6.656,22.379,12.548,46.357,113.427,201.366,25596467,17580485113460163840,12730777852769856420
C,80000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,2,6.586,22.434,12.685,46.266,113.331,201.301,25596467,17580485113460163840,12730777852769856420
C,80000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,3,6.621,22.495,12.551,46.390,113.427,201.484,25596467,17580485113460163840,12730777852769856420
C,80000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,4,6.624,22.389,12.536,46.229,118.975,206.754,25596467,17580485113460163840,12730777852769856420
C,80000000,task,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,0,9.899,22.863,18.986,46.967,115.469,214.184,25596467,17580485113460163840,12730777852769856420
C,80000000,task,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,1,7.732,22.472,14.877,46.757,113.717,205.556,25596467,17580485113460163840,12730777852769856420
C,80000000,task,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,2,7.598,22.905,14.761,46.745,113.568,205.577,25596467,17580485113460163840,12730777852769856420
C,80000000,task,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,3,8.014,22.365,14.646,46.543,113.671,205.239,25596467,17580485113460163840,12730777852769856420
C,80000000,task,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,32000000,64000000,4,7.589,22.638,14.372,49.273,113.945,207.817,25596467,17580485113460163840,12730777852769856420
C,160000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,0,18.190,65.602,46.530,138.141,136.971,405.435,51187123,12623191366037940350,10254080496893484181
C,160000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,1,12.986,65.581,17.542,137.905,133.687,367.702,51187123,12623191366037940350,10254080496893484181
C,160000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,2,12.917,65.579,34.156,138.098,133.889,384.640,51187123,12623191366037940350,10254080496893484181
C,160000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,3,12.954,65.587,16.516,138.043,133.805,366.906,51187123,12623191366037940350,10254080496893484181
C,160000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,4,12.917,65.631,16.492,138.032,133.981,367.053,51187123,12623191366037940350,10254080496893484181
C,160000000,task,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,0,21.780,66.005,48.840,138.071,136.381,411.078,51187123,12623191366037940350,10254080496893484181
C,160000000,task,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,1,16.507,66.010,26.853,138.195,133.621,381.188,51187123,12623191366037940350,10254080496893484181
C,160000000,task,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,2,17.584,67.024,36.421,138.099,133.708,392.836,51187123,12623191366037940350,10254080496893484181
C,160000000,task,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,3,17.972,65.996,26.842,138.071,133.556,382.438,51187123,12623191366037940350,10254080496893484181
C,160000000,task,uniform,dynamic1,lpt,8,12,8,par,0,32,4096,64000000,128000000,4,16.964,65.951,26.126,138.084,133.576,380.701,51187123,12623191366037940350,10254080496893484181
